exchange,symbol,isin,series,open,high,low,close,prev_close,volume,value,trades
BSE,1STCUS,INE609B01018,X,60.20,64.00,58.30,61.92,64.00,33,2002.00,9
BSE,20MICRONS,INE144J01027,B,219.00,223.70,216.70,222.80,217.20,14132,3112284.00,337
BSE,21STCENMGM,INE253B01015,B,38.35,38.35,38.35,38.35,38.43,525,20133.00,9
BSE,360ONE,INE466L01038,A,1148.65,1154.60,1127.35,1137.00,1155.00,29899,34069156.00,2295
BSE,3BBLACKBIO,INE994E01018,B,1513.90,1521.55,1414.15,1464.85,1481.70,3328,4860182.00,366
BSE,3BFILMS,INE0TE101010,M,11.00,11.66,11.00,11.66,11.11,45000,521970.00,14
BSE,3IINFOLTD,INE748C01038,T,21.30,22.84,21.30,22.45,21.76,23180,521789.00,127
BSE,3MINDIA,INE470A01017,A,32750.00,32964.95,32653.70,32878.30,32755.35,65,2135475.00,39
BSE,3PLAND,INE105C01023,B,32.70,33.10,31.40,31.93,33.70,910,29455.00,42
BSE,5PAISA,INE618L01018,B,343.05,362.05,336.20,341.65,343.00,16115,5555280.00,370
BSE,63MOONS,INE111B01023,A,878.85,903.00,852.80,875.20,850.85,58137,51282063.00,2596
BSE,7NR,INE413X01035,XT,6.43,7.09,6.43,6.99,6.76,75333,515279.00,183
BSE,7SEASL,INE454F01010,X,97.89,98.00,93.31,95.52,96.95,91578,8915042.00,160
BSE,7TEC,INE856B01023,X,34.89,34.89,33.55,34.20,34.57,5326,183116.00,138
BSE,A1L,INE911Z01025,B,5.14,5.19,4.99,5.08,5.07,1418553,7230190.00,1910
BSE,A2ZINFRA,INE619I01012,B,16.50,16.50,15.45,15.69,15.84,13108,206493.00,56
BSE,AAATECH,INE0D0U01013,B,92.79,93.00,89.77,91.59,94.44,6812,622619.00,222
BSE,AADHARHFC,INE883F01010,A,480.00,487.30,478.05,483.25,477.05,15409,7435687.00,598
BSE,AADIIND,INE563D01013,X,8.44,8.44,8.03,8.03,8.45,42,342.00,9
BSE,AAIL,INE864E01021,XT,91.50,92.25,90.26,91.67,92.28,2533,231828.00,32
BSE,AANCHALISP,INE322R01022,XT,64.00,67.19,64.00,66.51,64.88,1689,111681.00,28
BSE,AAREYDRUGS,INE198H01019,B,95.50,96.90,94.65,95.03,94.84,11797,1129382.00,241
