exchange,symbol,isin,series,open,high,low,close,prev_close,volume,value,trades
BSE,1STCUS,INE609B01018,X,60.36,64.00,60.36,64.00,61.59,38,2311.00,5
BSE,20MICRONS,INE144J01027,B,211.00,215.70,209.60,211.45,213.40,8247,1742397.00,277
BSE,21STCENMGM,INE253B01015,B,39.21,40.00,39.21,39.21,40.01,1289,50555.00,20
BSE,360ONE,INE466L01038,A,1161.55,1190.00,1129.00,1190.00,1159.20,55223,62905980.00,1245
BSE,3BBLACKBIO,INE994E01018,B,1540.25,1585.00,1470.35,1480.05,1522.20,3787,5844061.00,436
BSE,3BFILMS,INE0TE101010,M,11.81,11.81,11.53,11.53,12.06,33000,385050.00,11
BSE,3IINFOLTD,INE748C01038,T,22.24,22.50,21.70,22.38,22.69,30504,672436.00,196
BSE,3MINDIA,INE470A01017,A,33284.95,33284.95,32747.95,32890.55,33281.75,125,4115266.00,72
BSE,3PLAND,INE105C01023,B,31.60,34.00,31.60,31.60,31.60,230,7418.00,11
BSE,5PAISA,INE618L01018,B,343.55,345.00,336.00,337.95,345.95,3280,1116974.00,201
BSE,63MOONS,INE111B01023,A,770.00,818.80,770.00,804.70,777.05,29049,23229135.00,1265
BSE,7NR,INE413X01035,XT,6.95,7.00,6.65,6.74,6.95,33185,225036.00,138
BSE,7SEASL,INE454F01010,X,93.90,97.00,93.90,95.67,94.84,47305,4522254.00,130
BSE,7TEC,INE856B01023,X,33.44,34.51,33.21,34.28,33.16,10145,346793.00,133
BSE,A1L,INE911Z01025,B,4.97,4.98,4.90,4.94,4.93,1161242,5727173.00,1261
BSE,A2ZINFRA,INE619I01012,B,16.00,16.60,16.00,16.49,16.60,14268,235282.00,74
BSE,AAATECH,INE0D0U01013,B,92.54,94.99,92.54,92.89,94.34,853,79132.00,20
BSE,AADHARHFC,INE883F01010,A,476.00,476.50,465.35,475.25,476.85,23731,11194403.00,808
BSE,AADIIND,INE563D01013,X,8.10,8.45,8.10,8.45,8.45,28,229.00,7
BSE,AAIL,INE864E01021,XT,91.80,91.80,88.00,89.43,88.00,2948,267471.00,34
BSE,AANCHALISP,INE322R01022,XT,66.54,68.40,65.00,65.35,66.54,1415,95561.00,21
